Index,Voltage
950,54.45
951,49.15
952,43.72
953,48.53
954,42.74
955,42.72
956,58.84
957,42.72
958,42.72
959,42.72
960,57.99
961,56.46
962,56.3
963,56.44
964,55.32
965,56.59
966,42.74
967,56.87
968,42.74
969,56.58
970,55.3
971,51.75
972,46.14
973,43.35
974,40.21
975,36.75
976,36.75
977,36.97
978,37.43
979,36.06
980,35.56
981,35.56
982,35.58
983,35.56
984,35.56
985,35.56
986,35.58
987,35.58
988,35.58
989,35.58
990,35.05
991,35.58
992,35.58
993,35.56
994,35.56
995,35.56
996,35.82
997,30.62
998,23.55
999,16.64
1000,13.96
1001,14.28
1002,15.98
1003,19.5
1004,28.78
1005,34.78
1006,36.06
1007,36.53
1008,36.5
1009,36.06
1010,36.04
1011,36.06
1012,36.04
1013,36.04
1014,36.06
1015,36.04
1016,36.06
1017,36.06
1018,36.04
1019,34.76
1020,31.13
1021,32.71
1022,31.4
1023,32.16
1024,32.16
1025,33.47
1026,33.47
1027,33.47
1028,36.28
1029,32.18
1030,29.83
1031,20.45
1032,11.92
1033,7.84
1034,6.85
1035,19.53
1036,29.33
1037,32.18
1038,32.18
1039,32.18
1040,32.18
1041,32.18
1042,32.18
1043,32.18
1044,32.18
1045,32.18
1046,32.18
1047,32.18
1048,32.18
1049,32.16
1050,32.18
1051,32.18
1052,32.18
1053,32.18
1054,32.18
1055,32.18
1056,32.16
1057,32.18
1058,32.18
1059,32.18
1060,32.18
1061,33.47
1062,32.16
1063,32.18
1064,33.47
1065,32.18
1066,32.69
1067,33.47
1068,32.18
1069,32.69
1070,32.69
1071,32.71
1072,32.69
1073,32.71
1074,32.71
1075,34.76
1076,29.58
1077,22.39
1078,17.59
1079,14.98
1080,9.86
1081,8.48
1082,6.87
1083,14.64
1084,22.98
1085,25.87
1086,32.18
1087,32.16
1088,32.18
1089,33.47
1090,33.47
1091,32.18
1092,32.18
1093,32.18
1094,32.18
1095,33.47
1096,32.18
1097,32.69
1098,32.69
1099,32.71
1100,32.69
1101,32.71
1102,32.69
1103,32.71
1104,32.71
1105,32.71
1106,33.49
1107,33.47
1108,32.18
1109,32.16
1110,32.18
1111,32.16
1112,32.18
1113,32.18
1114,32.18
1115,32.16
1116,32.18
1117,32.18
1118,32.18
1119,32.18
1120,32.18
1121,32.18
1122,32.18
1123,32.16
1124,32.16
1125,32.16
1126,32.16
1127,32.16
1128,33.47
1129,32.18
1130,32.71
1131,32.71
1132,32.18
1133,33.49
1134,33.47
1135,32.18
1136,32.18
1137,33.47
1138,32.98
1139,28.78
1140,23.55
1141,17.27
1142,16.95
1143,19.53
1144,24.43
1145,29.58
1146,32.16
1147,32.18
1148,32.18
1149,31.65
1150,28.78
1151,24.41
1152,28.49
1153,22.68
1154,16.64
1155,16.0
1156,17.92
1157,16.0
1158,15.3
1159,14.98
1160,16.95
1161,16.32
1162,14.98
1163,13.62
1164,12.24
1165,18.24
1166,23.55
1167,19.82
1168,56.3
1169,56.3
1170,56.3
1171,804.56
1172,83.39
1173,804.49
1174,56.29
1175,56.29
1176,56.29
1177,56.3
1178,56.3
1179,56.3
