General Index,Voltage,Sensor
301,313,fotorresistencia_data.csv
302,313,fotorresistencia_data.csv
303,313,fotorresistencia_data.csv
304,314,fotorresistencia_data.csv
305,313,fotorresistencia_data.csv
306,313,fotorresistencia_data.csv
307,314,fotorresistencia_data.csv
308,314,fotorresistencia_data.csv
309,314,fotorresistencia_data.csv
310,315,fotorresistencia_data.csv
311,314,fotorresistencia_data.csv
312,315,fotorresistencia_data.csv
313,315,fotorresistencia_data.csv
314,315,fotorresistencia_data.csv
315,315,fotorresistencia_data.csv
316,315,fotorresistencia_data.csv
317,315,fotorresistencia_data.csv
318,315,fotorresistencia_data.csv
319,315,fotorresistencia_data.csv
320,315,fotorresistencia_data.csv
321,315,fotorresistencia_data.csv
322,315,fotorresistencia_data.csv
323,315,fotorresistencia_data.csv
324,315,fotorresistencia_data.csv
325,315,fotorresistencia_data.csv
326,315,fotorresistencia_data.csv
327,316,fotorresistencia_data.csv
328,316,fotorresistencia_data.csv
329,316,fotorresistencia_data.csv
330,316,fotorresistencia_data.csv
331,316,fotorresistencia_data.csv
332,316,fotorresistencia_data.csv
333,316,fotorresistencia_data.csv
334,316,fotorresistencia_data.csv
335,316,fotorresistencia_data.csv
336,316,fotorresistencia_data.csv
337,316,fotorresistencia_data.csv
338,316,fotorresistencia_data.csv
339,316,fotorresistencia_data.csv
340,316,fotorresistencia_data.csv
341,316,fotorresistencia_data.csv
342,317,fotorresistencia_data.csv
343,317,fotorresistencia_data.csv
344,317,fotorresistencia_data.csv
345,317,fotorresistencia_data.csv
346,317,fotorresistencia_data.csv
347,317,fotorresistencia_data.csv
348,317,fotorresistencia_data.csv
349,317,fotorresistencia_data.csv
350,317,fotorresistencia_data.csv
351,317,fotorresistencia_data.csv
352,318,fotorresistencia_data.csv
353,317,fotorresistencia_data.csv
354,318,fotorresistencia_data.csv
355,318,fotorresistencia_data.csv
356,318,fotorresistencia_data.csv
357,318,fotorresistencia_data.csv
358,318,fotorresistencia_data.csv
359,318,fotorresistencia_data.csv
360,318,fotorresistencia_data.csv
361,318,fotorresistencia_data.csv
362,318,fotorresistencia_data.csv
363,317,fotorresistencia_data.csv
364,317,fotorresistencia_data.csv
365,317,fotorresistencia_data.csv
366,318,fotorresistencia_data.csv
367,317,fotorresistencia_data.csv
368,318,fotorresistencia_data.csv
